id,email,first_name,last_name,country,created_at,age,referrer_id,signup_date,utm_source,utm_campaign,utm_medium,utm_term,utm_content,visitor_id,status,adjust_tracker,adjust_campaign,adjust_adgroup,adjust_creative
2305,deborahmueller@collierlesch.net,Arvilla,Wolf,bs,2018-04-12 05:07:09.967302,22,,2018-04-12,,,,,,76b2205db561a3d9,free,,,,
2319,austin@jacobsryan.co,Torrie,Grant,kw,2018-03-13 00:27:47.54685,33,,2018-03-13,,,,,,7ce1bf7260fb8721,free,,,,
2376,estell@wintheiserkris.com,Andree,Lind,sz,2018-04-07 04:29:59.156679,19,,2018-04-07,,,,,,a845588bb56d2504,free,,,,
2377,buster@stiedemann.co,Gil,Dickinson,sh,2018-01-05 04:25:02.249932,32,,2018-01-05,,,,,,699beaf8241c3bd4,free,,,,
2379,tamarreynolds@krisfahey.biz,Majorie,Gleichner,ls,2018-08-04 13:05:41.035596,23,,2018-08-04,,,,,,d1587afb127229b2,free,,,,
2415,margaritobayer@beahan.info,Venessa,Beer,br,2018-12-25 09:04:34.132058,50,3122,2018-12-25,,,,,,b06e5b664ee82a63,free,,,,
2452,lorinaquigley@farrellhilll.com,Courtney,Powlowski,br,2018-05-31 07:06:35.69399,46,,2018-05-31,,,,,,12bd88c713bcd665,free,,,,
2558,florentino@bode.com,Nickolas,Murphy,vn,2018-05-28 18:05:58.346287,33,2715,2018-05-28,,,,,,e4b3bd7575ba918e,free,,,,
2571,terrell@bergstromjenkins.com,Ted,Maggio,mx,2018-07-03 20:47:12.144346,31,,2018-07-03,,,,,,4af5460d95b77b92,free,,,,
2598,chelseadietrich@klein.biz,Krishna,O'Conner,br,2018-03-24 13:57:15.008717,34,,2018-03-24,,,,,,577cc80073fd7a86,free,,,,
2676,deon@adamsjohnson.com,Benny,McDermott,br,2018-10-10 13:57:15.888974,42,,2018-10-10,,,,,,31449013be88ce51,free,,,,
2680,mario@stoltenberg.com,Mirtha,Lebsack,in,2018-02-14 14:24:13.346017,35,,2018-02-14,,,,,,4b327e6e1bdcccb0,free,,,,
2828,andrewmitchell@webersauer.org,Esteban,Collier,br,2018-12-22 07:20:58.981149,36,,2018-12-22,,,,,,8e9032efad0cd05b,free,,,,
2886,michel@stoltenberg.com,Jaime,Luettgen,kr,2018-08-24 22:04:54.091292,49,,2018-08-24,,,,,,9656510780c5b7f5,free,,,,
3027,marcelino@pfannerstill.co,Vanessa,Stehr,us,2018-12-31 14:36:00.115576,48,,2018-12-31,,,,,,d78132b9133d144c,free,,,,
